Centroid Data for pc board: "soundcard v1.1.brd" as of: 25/03/2019 18:09:34
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,2.578240,5.375958,90
C3,Top,2.925238,5.421328,180
C4,Top,0.344488,4.153543,180
C5,Top,2.767548,5.421328,180
C6,Top,0.324803,4.488189,90
C7,Top,1.250000,4.527559,180
C8,Top,1.250000,4.409449,0
C9,Top,2.572385,5.655549,90
C10,Top,1.250000,4.704724,0
C11,Top,0.789217,4.682006,270
C12,Top,1.250000,4.586614,180
C13,Top,0.324803,4.645669,270
C14,Top,0.960830,4.804360,90
C15,Top,2.923228,5.738189,180
C16,Top,2.767548,5.728646,180
C17,Top,0.650087,4.920726,0
C18,Top,2.100457,4.633087,180
C19,Top,2.568898,4.633087,180
C20,Top,2.096457,4.704724,180
C21,Top,2.568898,4.704724,180
C22,Top,2.096457,4.773622,180
C23,Top,2.568898,4.773622,180
C24,Top,1.949606,5.047228,90
C25,Top,2.420260,5.047370,90
C26,Top,1.870079,5.039370,90
C27,Top,2.342520,5.039370,90
C28,Top,2.080181,3.833937,0
C29,Top,2.121252,4.494630,90
C30,Top,2.559055,4.301181,270
C31,Top,2.074772,4.064071,90
C32,Top,2.148921,3.947992,180
C33,Top,2.002339,4.405591,90
C38,Top,3.149606,4.753937,270
C62,Top,3.149606,2.775591,270
C84,Top,0.511811,3.061024,180
C85,Top,1.538189,3.534055,0
C86,Top,1.221063,3.489469,90
C87,Top,1.538484,3.454232,0
C88,Top,1.496063,3.090551,0
C89,Top,1.496063,3.031496,0
C90,Top,1.501157,4.127504,180
C91,Top,1.515748,4.192913,180
C92,Top,1.840551,3.233268,180
C93,Top,1.840551,3.031496,180
C94,Top,1.968504,3.494094,180
C95,Top,2.283465,2.696850,270
C96,Top,2.283465,3.548228,90
C97,Top,2.687008,3.277559,0
C98,Top,2.687008,2.952756,0
C99,Top,2.687008,3.095472,0
C100,Top,2.903543,3.582677,0
C101,Top,2.888268,2.834965,0
C102,Top,2.797118,3.392669,90
C103,Top,0.928642,2.340945,0
C104,Top,1.456693,2.440945,180
C105,Top,1.604331,2.440945,0
C106,Top,0.469252,2.042504,90
