Centroid Data for pc board: "soundcard v1.1.brd" as of: 25/03/2019 18:09:34
Measurements are in millimeters. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,65.487300,136.549341,90
C3,Top,74.301056,137.701741,180
C4,Top,8.750000,105.500000,180
C5,Top,70.295719,137.701741,180
C6,Top,8.250000,114.000000,90
C7,Top,31.750000,115.000000,180
C8,Top,31.750000,112.000000,0
C9,Top,65.338581,143.650941,90
C10,Top,31.750000,119.500000,0
C11,Top,20.046100,118.922941,270
C12,Top,31.750000,116.500000,180
C13,Top,8.250000,118.000000,270
C14,Top,24.405081,122.030741,90
C15,Top,74.250000,145.750000,180
C16,Top,70.295719,145.507619,180
C17,Top,16.512222,124.986441,0
C18,Top,53.351600,117.680400,180
C19,Top,65.250000,117.680400,180
C20,Top,53.250000,119.500000,180
C21,Top,65.250000,119.500000,180
C22,Top,53.250000,121.250000,180
C23,Top,65.250000,121.250000,180
C24,Top,49.520000,128.199600,90
C25,Top,61.474600,128.203200,90
C26,Top,47.500000,128.000000,90
C27,Top,59.500000,128.000000,90
C28,Top,52.836600,97.382000,0
C29,Top,53.879800,114.163600,90
C30,Top,65.000000,109.250000,270
C31,Top,52.699200,103.227400,90
C32,Top,54.582600,100.279000,180
C33,Top,50.859400,111.902000,90
C38,Top,80.000000,120.750000,270
C62,Top,80.000000,70.500000,270
C84,Top,13.000000,77.750000,180
C85,Top,39.070000,89.765000,0
C86,Top,31.015000,88.632500,90
C87,Top,39.077500,87.737500,0
C88,Top,38.000000,78.500000,0
C89,Top,38.000000,77.000000,0
C90,Top,38.129400,104.838600,180
C91,Top,38.500000,106.500000,180
C92,Top,46.750000,82.125000,180
C93,Top,46.750000,77.000000,180
C94,Top,50.000000,88.750000,180
C95,Top,58.000000,68.500000,270
C96,Top,58.000000,90.125000,90
C97,Top,68.250000,83.250000,0
C98,Top,68.250000,75.000000,0
C99,Top,68.250000,78.625000,0
C100,Top,73.750000,91.000000,0
C101,Top,73.362000,72.008100,0
